Trmt,Indiv,Time,HW,Mass
S1,1,1,0.83,14
S1,1,2,1.56,22.6
S1,2,1,1.01,6.5
S1,2,2,1,16.4
S1,3,1,0.91,8.1
S1,3,2,0.94,18.2
S1,4,1,1.38,22.9
S1,4,2,1.38,35.1
S1,5,1,0.95,14
S1,5,2,1.33,25.7
S1,6,1,0.96,14.5
S1,6,2,1.42,34.4
S1,7,1,0.75,4.9
S1,7,2,0.95,8.3
S1,8,1,1.29,43
S1,8,2,1.44,48.6
S1,9,1,0.98,14.3
S1,9,2,1.32,34.1
S1,10,1,0.69,3.2
S1,10,2,0.71,4.3
S1,11,1,0.83,14.2
S1,11,2,0.71,4.3
S1,12,1,1.5,31.7
S1,12,2,1.39,30.1
S1,13,1,0.88,15.6
S1,13,2,1.41,18.1
S1,14,1,0.84,15.2
S1,14,2,1.5,16.2
S1,15,1,1.1,30.5
S1,15,2,1.44,50.8
S1,16,1,1.39,16.9
S1,16,2,1.42,42.3
S1,17,1,0.62,4.2
S1,17,2,0.83,5.6
S1,18,1,0.76,4.7
S1,18,2,0.79,2.7
S2,19,1,1.15,19.9
S2,19,2,1.48,38.6
S2,20,1,1.12,14.5
S2,20,2,1.39,19.4
S2,21,1,1.38,17.7
S2,21,2,1.58,31.3
S2,22,1,1.4,47.3
S2,22,2,1.58,47.7
S2,23,1,0.88,9.4
S2,23,2,1.19,16.2
S2,24,1,0.91,13.2
S2,24,2,1.38,19.2
S2,25,1,1.44,32.9
S2,25,2,1.61,43.2
S2,26,1,1.49,41
S2,26,2,NA,NA
S2,27,1,0.89,9
S2,27,2,1.06,12
S2,28,1,0.9,10.8
S2,28,2,1.07,13.6
S2,29,1,1.49,22.9
S2,29,2,1.3,41.6
S2,30,1,1.4,31.7
S2,30,2,1.38,41
S2,31,1,1.38,27.2
S2,31,2,1.33,39.5
S2,32,1,1.08,6.2
S2,32,2,1.1,14.1
S2,33,1,1.27,17.8
S2,33,2,1.26,26.8
S2,34,1,1.22,22.3
S2,34,2,1.38,35.5
S2,35,1,1.39,32
S2,35,2,1.29,42.4
S2,36,1,1.08,8.3
S2,36,2,1.08,12.6
G1,37,1,1.4,50.2
G1,37,2,1.4,39.9
G1,38,1,0.87,13.9
G1,38,2,1.29,11.8
G1,39,1,1.35,18.6
G1,39,2,1.4,14.9
G1,40,1,1.39,39
G1,40,2,1.39,30.2
G1,41,1,0.97,9
G1,41,2,0.95,7.3
G1,42,1,1.43,43.3
G1,42,2,NA,NA
G1,43,1,1.4,33.5
G1,43,2,1.41,26.9
G1,44,1,1.4,18.9
G1,44,2,1.39,15.4
G1,45,1,1.35,25.7
G1,45,2,1.4,23.3
G1,46,1,0.98,12.8
G1,46,2,1.32,11.2
G1,47,1,1.45,20.4
G1,47,2,1.41,17.7
G1,48,1,0.84,13.9
G1,48,2,1.2,11.6
G1,49,1,0.68,3.1
G1,49,2,0.68,2.8
G1,50,1,0.79,11
G1,50,2,0.79,8.7
G1,51,1,0.95,4.9
G1,51,2,0.95,3.9
G1,52,1,1.42,33
G1,52,2,1.39,27.8
G1,53,1,0.71,2.8
G1,53,2,0.72,1.5
G1,54,1,1.34,23.1
G1,54,2,1.33,18.7
